tconst,ordering_M,nconst_M,primaryName_M,knownForTitles_M,age_M,ordering_F,nconst_F,titleType,originalTitle,isAdult,endYear,runtimeMinutes,primaryTitle,startYear,genres,primaryName_F,birthYear,deathYear,primaryProfession,knownForTitles_F,age_F,age_gap
tt0035216,2.0,nm0426708,Johnny Johnston,"tt0040565,tt0049682,tt0047780,tt0035216",27,1.0,nm0587900,movie,Priorities on Parade,0.0,\N,79.0,Priorities on Parade,1942,"Comedy,Musical,Romance",Ann Miller,1923,2004,"actress,miscellaneous,soundtrack","tt0166924,tt0030993,tt0041716,tt0036306",19,8
tt0035413,2.0,nm0534045,Fred MacMurray,"tt0036775,tt0053604,tt0046816,tt0057518",34,1.0,nm0751426,movie,"Take a Letter, Darling",0.0,\N,92.0,"Take a Letter, Darling",1942,"Comedy,Romance",Rosalind Russell,1907,1976,"actress,writer,soundtrack","tt0051383,tt0032599,tt0056048,tt0032143",35,-1
tt0035458,1.0,nm0035159,Richard Arlen,"tt0024188,tt0018578,tt0021070,tt0031661",43,2.0,nm0662335,movie,Torpedo Boat,0.0,\N,70.0,Torpedo Boat,1942,"Action,Drama,Romance",Jean Parker,1915,2005,"actress,soundtrack,archive_footage","tt0024264,tt0042531,tt0035453,tt0036653",27,16
tt0035948,1.0,nm0445523,Cecil Kellaway,"tt0061735,tt0042546,tt0038854,tt0034881",53,2.0,nm0907785,movie,The Good Fellows,0.0,\N,70.0,The Good Fellows,1943,"Comedy,Romance",Helen Walker,1920,1968,"actress,soundtrack,archive_footage","tt0037557,tt0040202,tt0037046,tt0041503",23,30
tt0035969,2.0,nm0694090,Dick Powell,"tt0037101,tt0037615,tt0044391,tt0040695",39,1.0,nm0552756,movie,Happy Go Lucky,0.0,\N,81.0,Happy Go Lucky,1943,"Comedy,Musical,Romance",Mary Martin,1913,1990,"actress,miscellaneous,producer","tt0054176,tt0046637,tt0036461,tt0033396",30,9
tt0036105,1.0,nm0001362,Bob Hope,"tt0032520,tt0031143,tt0039645,tt0045094",40,2.0,nm0002149,movie,Let's Face It,0.0,\N,76.0,Let's Face It,1943,"Musical,Romance",Betty Hutton,1921,2007,"actress,writer,soundtrack","tt0042200,tt0044672,tt0037077,tt0038119",22,18
tt0036208,2.0,nm0534045,Fred MacMurray,"tt0036775,tt0053604,tt0046816,tt0057518",35,1.0,nm0001055,movie,No Time for Love,0.0,\N,83.0,No Time for Love,1943,"Comedy,Romance",Claudette Colbert,1903,1996,"actress,soundtrack,archive_footage","tt0025316,tt0036367,tt0029929,tt0037280",40,-5
tt0036367,4.0,nm0001660,George Reeves,"tt0044231,tt0031381,tt0044091,tt0041096",29,1.0,nm0001055,movie,So Proudly We Hail!,0.0,\N,126.0,So Proudly We Hail!,1943,"Drama,Romance,War",Claudette Colbert,1903,1996,"actress,soundtrack,archive_footage","tt0025316,tt0036367,tt0029929,tt0037280",40,-11
tt0036461,2.0,nm0867144,Franchot Tone,"tt0026261,tt0026752,tt0040457,tt0028330",38,1.0,nm0552756,movie,True to Life,0.0,\N,94.0,True to Life,1943,"Comedy,Romance",Mary Martin,1913,1990,"actress,miscellaneous,producer","tt0054176,tt0046637,tt0036461,tt0033396",30,8
tt0036599,1.0,nm0000042,Alan Ladd,"tt0046303,tt0035432,tt0038369,tt0055718",31,2.0,nm0949835,movie,And Now Tomorrow,0.0,\N,86.0,And Now Tomorrow,1944,"Drama,Romance",Loretta Young,1913,2000,"actress,producer,soundtrack","tt0038991,tt0039370,tt0024334,tt0032397",31,0
tt0036600,2.0,nm0534045,Fred MacMurray,"tt0036775,tt0053604,tt0046816,tt0057518",36,1.0,nm0483787,movie,And the Angels Sing,0.0,\N,96.0,And the Angels Sing,1944,"Comedy,Music,Romance",Dorothy Lamour,1914,1996,"actress,soundtrack,archive_footage","tt0092796,tt0032993,tt0057007,tt0039645",30,6
tt0036840,2.0,nm0194742,Arturo de Córdova,"tt0042434,tt0045260,tt0187005,tt0040075",36,1.0,nm0000021,movie,Frenchman's Creek,0.0,\N,110.0,Frenchman's Creek,1944,"Adventure,Drama,Romance",Joan Fontaine,1917,2013,"actress,producer,soundtrack","tt0034248,tt0032976,tt0035751,tt0036969",27,9
tt0036908,1.0,nm0527996,Jimmy Lydon,"tt0075393,tt0038126,tt0040676,tt0042578",21,4.0,nm0086830,movie,Henry Aldrich's Little Secret,0.0,\N,75.0,Henry Aldrich's Little Secret,1944,"Comedy,Family,Romance",Olive Blakeney,1894,1959,"actress,archive_footage","tt0038990,tt0034274,tt0035984,tt0036908",50,-29
tt0036912,1.0,nm0001078,Bing Crosby,"tt0047673,tt0049314,tt0036872,tt0046874",41,2.0,nm0002149,movie,Here Come the Waves,0.0,\N,99.0,Here Come the Waves,1944,"Comedy,Musical,Romance",Betty Hutton,1921,2007,"actress,writer,soundtrack","tt0042200,tt0044672,tt0037077,tt0038119",23,18
tt0036930,2.0,nm0867144,Franchot Tone,"tt0026261,tt0026752,tt0040457,tt0028330",39,1.0,nm0000043,movie,The Hour Before the Dawn,0.0,\N,74.0,The Hour Before the Dawn,1944,"Drama,Romance,War",Veronica Lake,1922,1973,"actress,producer,soundtrack","tt0034240,tt0038369,tt0035432,tt0034881",22,17
tt0036938,2.0,nm0876211,Sonny Tufts,"tt0048605,tt0036367,tt0036912,tt0039082",33,1.0,nm0002104,movie,I Love a Soldier,0.0,\N,106.0,I Love a Soldier,1944,"Drama,Romance,War",Paulette Goddard,1910,1990,"actress,producer,soundtrack","tt0032520,tt0027977,tt0033722,tt0037849",34,-1
tt0037000,2.0,nm0001537,Ray Milland,"tt0037884,tt0046912,tt0066011,tt0037415",37,1.0,nm0001677,movie,Lady in the Dark,0.0,\N,100.0,Lady in the Dark,1944,"Drama,Musical,Romance",Ginger Rogers,1911,1995,"actress,soundtrack,archive_footage","tt0032671,tt0035019,tt0044916,tt0032946",33,4
tt0037077,1.0,nm0102787,Eddie Bracken,"tt0036891,tt0085995,tt0037077,tt0107985",28,2.0,nm0002149,movie,The Miracle of Morgan's Creek,0.0,\N,98.0,The Miracle of Morgan's Creek,1943,"Comedy,Romance,War",Betty Hutton,1921,2007,"actress,writer,soundtrack","tt0042200,tt0044672,tt0037077,tt0038119",22,6
tt0037190,2.0,nm0534045,Fred MacMurray,"tt0036775,tt0053604,tt0046816,tt0057518",36,1.0,nm0001055,movie,Practically Yours,0.0,\N,90.0,Practically Yours,1944,"Comedy,Romance,War",Claudette Colbert,1903,1996,"actress,soundtrack,archive_footage","tt0025316,tt0036367,tt0029929,tt0037280",41,-5
tt0037208,2.0,nm0102787,Eddie Bracken,"tt0036891,tt0085995,tt0037077,tt0107985",29,1.0,nm0483787,movie,Rainbow Island,0.0,\N,98.0,Rainbow Island,1944,"Comedy,Musical,Romance",Dorothy Lamour,1914,1996,"actress,soundtrack,archive_footage","tt0092796,tt0032993,tt0057007,tt0039645",30,-1
