tconst,ordering_M,nconst_M,primaryName_M,knownForTitles_M,age_M,ordering_F,nconst_F,titleType_x,originalTitle_x,isAdult_x,endYear_x,runtimeMinutes_x,titleType_y,primaryTitle,originalTitle_y,isAdult_y,startYear,endYear_y,runtimeMinutes_y,genres,primaryName_F,birthYear,deathYear,primaryProfession,knownForTitles_F,age_F,age_gap
tt0038237,1.0,nm0912861,James Warren,"tt0038237,tt0039271,tt0038479,tt0038996",32,3.0,nm0518879,movie,Wanderer of the Wasteland,0.0,\N,67.0,movie,Wanderer of the Wasteland,Wanderer of the Wasteland,0,1945,\N,67,Western,Audrey Long,1922,2014,actress,"tt0039211,tt0037970,tt0037130,tt0039313",23,9
tt0038241,1.0,nm0000053,Robert Mitchum,"tt0039689,tt0048424,tt0056197,tt0050356",28,2.0,nm0354853,movie,West of the Pecos,0.0,\N,66.0,movie,West of the Pecos,West of the Pecos,0,1945,\N,66,Western,Barbara Hale,1922,2017,"actress,soundtrack,archive_footage","tt0050051,tt0065377,tt0073043,tt0042046",23,5
tt0038254,1.0,nm0824496,Bob Steele,"tt0038355,tt0061747,tt0031742,tt0032253",38,5.0,nm0544605,movie,Wildfire,0.0,\N,57.0,movie,Wildfire,Wildfire,0,1945,\N,57,Western,Virginia Maples,1921,2010,actress,tt0038254,24,14
tt0038284,1.0,nm0000068,Randolph Scott,"tt0026942,tt0056412,tt0046375,tt0051047",48,2.0,nm0245304,movie,Abilene Town,0.0,\N,89.0,movie,Abilene Town,Abilene Town,0,1946,\N,89,Western,Ann Dvorak,1911,1979,"actress,miscellaneous,soundtrack","tt0023427,tt0028695,tt0026393,tt0023590",35,13
tt0038294,1.0,nm0141330,Sunset Carson,"tt0038050,tt0037961,tt0038294,tt0036689",26,2.0,nm0829725,movie,Alias Billy the Kid,0.0,\N,56.0,movie,Alias Billy the Kid,Alias Billy the Kid,0,1946,\N,56,Western,Peggy Stewart,1923,2019,"actress,soundtrack,archive_footage","tt1017451,tt1232200,tt0037961,tt0038838",23,3
tt0038298,1.0,nm0824496,Bob Steele,"tt0038355,tt0061747,tt0031742,tt0032253",39,4.0,nm0588852,movie,Ambush Trail,0.0,\N,60.0,movie,Ambush Trail,Ambush Trail,0,1946,\N,60,"Drama,Western",Lorraine Miller,1922,1978,"actress,soundtrack,archive_footage","tt0038298,tt0037552,tt0035676,tt0037720",24,15
tt0038319,1.0,nm0000891,Wallace Beery,"tt0040271,tt0023948,tt0022958,tt0025948",61,2.0,nm0639684,movie,Bad Bascomb,0.0,\N,112.0,movie,Bad Bascomb,Bad Bascomb,0,1946,\N,112,Western,Margaret O'Brien,1937,\N,"actress,writer,soundtrack","tt0037059,tt0034923,tt3132614,tt0041855",9,52
tt0038320,1.0,nm0335510,Kirby Grant,"tt0038580,tt0036861,tt0186722,tt0042050",34,3.0,nm0035467,movie,Bad Men of the Border,0.0,\N,55.0,movie,Bad Men of the Border,Bad Men of the Border,0,1945,\N,55,Western,Armida,1911,1989,"actress,soundtrack","tt0019711,tt0037033,tt0035943,tt0038320",34,0
tt0038321,1.0,nm0000068,Randolph Scott,"tt0026942,tt0056412,tt0046375,tt0051047",48,2.0,nm0723954,movie,Badman's Territory,0.0,\N,97.0,movie,Badman's Territory,Badman's Territory,0,1946,\N,97,Western,Ann Richards,1917,2006,"actress,archive_footage","tt0040823,tt0039586,tt0037885,tt0038321",29,19
tt0038340,1.0,nm0738042,Gilbert Roland,"tt0044391,tt0024548,tt0033028,tt0057940",41,4.0,nm0024738,movie,Beauty and the Bandit,0.0,\N,77.0,movie,Beauty and the Bandit,Beauty and the Bandit,0,1946,\N,77,Western,Ramsay Ames,1919,1998,"actress,writer,soundtrack","tt0039701,tt0039957,tt0038349,tt0037099",27,14
tt0038375,1.0,nm0113902,Johnny Mack Brown,"tt0039950,tt0030137,tt0034640,tt0029126",42,4.0,nm0215859,movie,Border Bandits,0.0,\N,58.0,movie,Border Bandits,Border Bandits,0,1946,\N,58,Western,Rosa Del Rosario,1917,2006,actress,"tt0293071,tt0293072,tt0791425,tt0038375",29,13
tt0038392,2.0,nm0001537,Ray Milland,"tt0037884,tt0046912,tt0066011,tt0037415",40,1.0,nm0001766,movie,California,0.0,\N,97.0,movie,California,California,0,1947,\N,97,Western,Barbara Stanwyck,1907,1990,"actress,soundtrack,archive_footage","tt0036775,tt0033373,tt0040823,tt0032080",40,0
tt0038393,1.0,nm0254381,Bill Elliott,"tt0033313,tt0032940,tt0017979,tt0041453",42,3.0,nm0281596,movie,California Gold Rush,0.0,\N,56.0,movie,California Gold Rush,California Gold Rush,0,1946,\N,56,Western,Alice Fleming,1882,1952,"actress,archive_footage","tt0163234,tt0217521,tt0037270,tt0038995",64,-22
tt0038395,1.0,nm0000763,Dana Andrews,"tt0037008,tt0036868,tt0037691,tt0049949",37,3.0,nm0001333,movie,Canyon Passage,0.0,\N,92.0,movie,Canyon Passage,Canyon Passage,0,1946,\N,92,Western,Susan Hayward,1917,1975,"actress,soundtrack,archive_footage","tt0045333,tt0051758,tt0048191,tt0041672",29,8
tt0038397,1.0,nm0212761,Eddie Dean,"tt0039751,tt0039108,tt0038495,tt0038422",39,4.0,nm0137511,movie,The Caravan Trail,0.0,\N,53.0,movie,The Caravan Trail,The Caravan Trail,0,1946,\N,53,Western,Jean Carlin,1921,1998,actress,"tt0038397,tt0036609,tt0281208,tt0039108",25,14
tt0038457,1.0,nm0141330,Sunset Carson,"tt0038050,tt0037961,tt0038294,tt0036689",26,2.0,nm0829725,movie,Days of Buffalo Bill,0.0,\N,56.0,movie,Days of Buffalo Bill,Days of Buffalo Bill,0,1946,\N,56,Western,Peggy Stewart,1923,2019,"actress,soundtrack,archive_footage","tt1017451,tt1232200,tt0037961,tt0038838",23,3
tt0038460,1.0,nm0671738,Nat Pendleton,"tt0025878,tt0025464,tt0039800,tt0027698",51,2.0,nm0318070,movie,Death Valley,0.0,\N,67.0,movie,Death Valley,Death Valley,0,1946,\N,67,"Drama,Western",Helen Gilbert,1915,1995,"actress,archive_footage","tt0034716,tt0031043,tt0034510,tt0036721",31,20
tt0038472,1.0,nm0101955,William Boyd,"tt0024018,tt0027415,tt0040787,tt0022243",51,4.0,nm0727026,movie,The Devil's Playground,0.0,\N,65.0,movie,The Devil's Playground,The Devil's Playground,0,1946,\N,65,Western,Elaine Riley,1917,2015,"actress,archive_footage","tt0047739,tt0040339,tt0040793,tt0040837",29,22
tt0038495,1.0,nm0212761,Eddie Dean,"tt0039751,tt0039108,tt0038495,tt0038422",39,4.0,nm0666408,movie,Driftin' River,0.0,\N,59.0,movie,Driftin' River,Driftin' River,0,1946,\N,59,Western,Shirley Patterson,1922,1995,"actress,archive_footage","tt0049964,tt0050622,tt0035665,tt0051786",24,15
