tconst,ordering,nconst,primaryTitle,startYear,genres,primaryName,birthYear,deathYear,primaryProfession,knownForTitles,age
tt0035480,4.0,nm0510989,Two Weeks to Live,1943,"Action,Comedy",Kay Linaker,1913,2008,"actress,writer,soundtrack","tt0094761,tt0051418,tt0035532,tt0031371",30
tt0035502,1.0,nm0000840,Valley of the Sun,1942,"Drama,Western",Lucille Ball,1911,1989,"producer,actress,production_manager","tt0043208,tt0055686,tt0062570,tt0047191",31
tt0035648,3.0,nm0204843,Around the World,1943,"Comedy,Musical",Joan Davis,1912,1961,"actress,producer,soundtrack","tt0033723,tt0037736,tt0036633,tt0036978",31
tt0035655,3.0,nm0838664,The Avenging Rider,1943,Western,Ann Summers,1919,1974,actress,"tt0236145,tt0068643,tt0058805,tt0041040",24
tt0035669,1.0,nm0546712,Behind the Rising Sun,1943,"Drama,War",Margo,1917,1985,"actress,soundtrack,archive_footage","tt0029162,tt0151573,tt0035669,tt0031656",26
tt0035689,3.0,nm0794297,Bombardier,1943,"Drama,War",Anne Shirley,1918,1993,"actress,soundtrack,archive_footage","tt0037101,tt0033532,tt0029608,tt0021074",25
tt0035738,2.0,nm0912846,Cinderella Swings It,1943,"Comedy,Drama,Musical",Gloria Warren,1926,2021,"actress,soundtrack,archive_footage","tt0035738,tt0039181,tt0038449,tt0038485",17
tt0035795,2.0,nm0446715,Tarzan's Desert Mystery,1943,"Adventure,Mystery,War",Nancy Kelly,1921,1995,"actress,soundtrack,archive_footage","tt0048977,tt0031507,tt0035795,tt0032873",22
tt0035854,2.0,nm0384948,The Falcon Strikes Back,1943,"Crime,Drama,Film-Noir",Harriet Nelson,1909,1994,"actress,soundtrack,archive_footage","tt0044230,tt0035854,tt0027630,tt0034572",34
tt0035855,2.0,nm0112046,The Falcon and the Co-eds,1943,"Crime,Drama,Film-Noir",Jean Brooks,1915,1963,"actress,archive_footage","tt0036341,tt0035856,tt0035855,tt0036104",28
tt0035856,3.0,nm0112046,The Falcon in Danger,1943,"Crime,Film-Noir,Mystery",Jean Brooks,1915,1963,"actress,archive_footage","tt0036341,tt0035856,tt0035855,tt0036104",28
