tconst,ordering_M,nconst_M,primaryName_M,knownForTitles_M,age_M,ordering_F,nconst_F,titleType,originalTitle,isAdult,endYear,runtimeMinutes,primaryTitle,startYear,genres,primaryName_F,birthYear,deathYear,primaryProfession,knownForTitles_F,age_F
tt0033620,1.0,nm0035159,Richard Arlen,"tt0024188,tt0018578,tt0021070,tt0031661",42,2.0,nm0001247,movie,Forced Landing,0.0,\N,67.0,Forced Landing,1941,Adventure,Eva Gabor,1919,1995,"actress,soundtrack,archive_footage","tt0058808,tt0076618,tt0065421,tt0100477",22
tt0033666,1.0,nm0178114,Jackie Cooper,"tt0078346,tt0081573,tt0086393,tt0094074",19,2.0,nm0288078,movie,Glamour Boy,0.0,\N,79.0,Glamour Boy,1941,"Comedy,Drama",Susanna Foster,1924,2009,"actress,soundtrack,archive_footage","tt0036261,tt0033666,tt0036715,tt0037717",17
tt0033708,1.0,nm0527996,Jimmy Lydon,"tt0075393,tt0038126,tt0040676,tt0042578",18,2.0,nm0695863,movie,Henry Aldrich for President,0.0,\N,75.0,Henry Aldrich for President,1941,"Comedy,Family",June Preisser,1920,1984,"actress,soundtrack","tt0037100,tt0038664,tt0040208,tt0031066",21
tt0033722,1.0,nm0000964,Charles Boyer,"tt0036855,tt0028739,tt0033722,tt0029855",42,2.0,nm0000014,movie,Hold Back the Dawn,0.0,\N,116.0,Hold Back the Dawn,1941,"Drama,Romance",Olivia de Havilland,1916,2020,"actress,soundtrack,archive_footage","tt0031381,tt0041452,tt0029843,tt0040806",25
tt0033741,1.0,nm0001537,Ray Milland,"tt0037884,tt0046912,tt0066011,tt0037415",34,5.0,nm0601073,movie,I Wanted Wings,0.0,\N,135.0,I Wanted Wings,1941,"Drama,War",Constance Moore,1920,2005,"actress,soundtrack,archive_footage","tt0036619,tt0032290,tt0037636,tt0033442",21
tt0033753,1.0,nm0101955,William Boyd,"tt0024018,tt0027415,tt0040787,tt0022243",46,4.0,nm0371135,movie,In Old Colorado,0.0,\N,66.0,In Old Colorado,1941,"Drama,Western",Margaret Hayes,1916,1977,"actress,miscellaneous,archive_footage","tt0034240,tt0048790,tt0034798,tt0049027",25
tt0033791,1.0,nm0000747,Don Ameche,"tt0088933,tt0086465,tt0035979,tt0107131",33,2.0,nm0552756,movie,Kiss the Boys Goodbye,0.0,\N,85,Kiss the Boys Goodbye,1941,Comedy,Mary Martin,1913,1990,"actress,miscellaneous,producer","tt0054176,tt0046637,tt0036461,tt0033396",28
tt0033804,2.0,nm0000020,Henry Fonda,"tt0050083,tt0082846,tt0032551,tt0051207",36,1.0,nm0001766,movie,The Lady Eve,0.0,\N,94,The Lady Eve,1941,"Comedy,Romance",Barbara Stanwyck,1907,1990,"actress,soundtrack,archive_footage","tt0036775,tt0033373,tt0040823,tt0032080",34
tt0033814,1.0,nm0234186,Tommy Dorsey,"tt0035320,tt0075686,tt0308383,tt0035829",36,3.0,nm0601073,movie,Las Vegas Nights,0.0,\N,90,Las Vegas Nights,1941,Comedy,Constance Moore,1920,2005,"actress,soundtrack,archive_footage","tt0036619,tt0032290,tt0037636,tt0033442",21
tt0033834,1.0,nm0178114,Jackie Cooper,"tt0078346,tt0081573,tt0086393,tt0094074",18,2.0,nm0259717,movie,Life with Henry,0.0,\N,80,Life with Henry,1940,"Comedy,Family,Romance",Leila Ernst,1920,1970,actress,tt0033834,20
tt0033851,1.0,nm0001362,Bob Hope,"tt0032520,tt0031143,tt0039645,tt0045094",38,2.0,nm0957936,movie,Louisiana Purchase,0.0,\N,98,Louisiana Purchase,1941,"Comedy,Musical",Vera Zorina,1917,2003,"actress,soundtrack,archive_footage","tt0032620,tt0033851,tt0036832,tt0030194",24
tt0033861,1.0,nm0001651,Basil Rathbone,"tt0029843,tt0035317,tt0036348,tt0032762",48,2.0,nm0237655,movie,The Mad Doctor,0.0,\N,90,The Mad Doctor,1940,"Crime,Film-Noir,Romance",Ellen Drew,1914,2003,"actress,soundtrack,archive_footage","tt0032338,tt0037820,tt0033916,tt0042229",26
tt0033916,2.0,nm0656745,Robert Paige,"tt0036376,tt0030234,tt0031324,tt0029223",31,1.0,nm0237655,movie,The Monster and the Girl,0.0,\N,65,The Monster and the Girl,1941,"Crime,Drama,Horror",Ellen Drew,1914,2003,"actress,soundtrack,archive_footage","tt0032338,tt0037820,tt0033916,tt0042229",27
