tconst,ordering_M,nconst_M,primaryName_M,knownForTitles_M,age_M,ordering_F,nconst_F,primaryTitle,startYear,genres,primaryName_F,birthYear,deathYear,primaryProfession,knownForTitles_F,age_F,age_gap
tt0035940,1.0,nm0669433,Harold Peary,"tt0036864,tt0035940,tt0035941,tt0035307",35,2.0,nm0000992,Gildersleeve on Broadway,1943,Comedy,Billie Burke,1884,1970,"actress,soundtrack,archive_footage","tt0032138,tt0030442,tt0023948,tt0029682",59,-24
tt0035941,1.0,nm0669433,Harold Peary,"tt0036864,tt0035940,tt0035941,tt0035307",35,2.0,nm0002034,Gildersleeve's Bad Day,1943,Comedy,Jane Darwell,1879,1967,"actress,archive_footage","tt0032551,tt0036244,tt0031381,tt0038762",64,-29
tt0036091,2.0,nm0000734,Eddie Albert,"tt0046250,tt0058808,tt0068687,tt0056197",35,1.0,nm0892473,Ladies' Day,1943,"Comedy,Romance,Sport",Lupe Velez,1908,1944,"actress,soundtrack,archive_footage","tt0031370,tt0031641,tt0020074,tt0034867",35,0
tt0036092,2.0,nm0000078,John Wayne,"tt0065126,tt0056217,tt0075213,tt0053580",36,1.0,nm0000795,A Lady Takes a Chance,1943,"Comedy,Romance,Western",Jean Arthur,1900,1991,"actress,soundtrack,archive_footage","tt0030993,tt0031679,tt0046303,tt0036172",43,-7
tt0036155,2.0,nm0259816,Leon Errol,"tt0031641,tt0031370,tt0035061,tt0036959",62,1.0,nm0892473,Mexican Spitfire's Blessed Event,1943,Comedy,Lupe Velez,1908,1944,"actress,soundtrack,archive_footage","tt0031370,tt0031641,tt0020074,tt0034867",35,27
tt0036174,1.0,nm0000026,Cary Grant,"tt0053125,tt0056923,tt0034248,tt0053143",39,2.0,nm0206478,Mr. Lucky,1943,"Comedy,Crime,Romance",Laraine Day,1920,2007,"actress,soundtrack,archive_footage","tt0032484,tt0038700,tt0038164,tt0042049",23,16
tt0036259,4.0,nm0715748,Walter Reed,"tt0043546,tt0051746,tt0044091,tt0052520",27,1.0,nm0913095,Petticoat Larceny,1943,"Comedy,Crime,Music",Ruth Warrick,1916,2005,"actress,miscellaneous,soundtrack","tt0033467,tt0065272,tt0038969,tt0057779",27,0
tt0036317,1.0,nm0114878,Wally Brown,"tt0038787,tt0038270,tt0037261,tt0036865",39,4.0,nm0054060,Rookies in Burma,1943,"Comedy,War",Joan Barclay,1914,2002,"actress,archive_footage","tt0028241,tt0140551,tt0028637,tt0038080",29,10
tt0036363,1.0,nm0000001,Fred Astaire,"tt0072308,tt0050419,tt0053137,tt0027125",44,2.0,nm0504125,The Sky's the Limit,1943,"Comedy,Musical,Romance",Joan Leslie,1925,2015,"actress,soundtrack,archive_footage","tt0036363,tt0035575,tt0034167,tt0038026",18,26
tt0036427,1.0,nm0001362,Bob Hope,"tt0032520,tt0031143,tt0039645,tt0045094",40,2.0,nm0483787,They Got Me Covered,1943,Comedy,Dorothy Lamour,1914,1996,"actress,soundtrack,archive_footage","tt0092796,tt0032993,tt0057007,tt0039645",29,11
