tconst,ordering_M,nconst_M,primaryName_M,knownForTitles_M,age_M,ordering_F,nconst_F,titleType,originalTitle,isAdult,endYear,runtimeMinutes,primaryTitle,startYear,genres,primaryName_F,birthYear,deathYear,primaryProfession,knownForTitles_F,age_F,age_gap
tt0035379,1.0,nm0001078,Bing Crosby,"tt0047673,tt0049314,tt0036872,tt0046874",39,7.0,nm0483787,movie,Star Spangled Rhythm,0.0,\N,99.0,Star Spangled Rhythm,1942,"Comedy,Music",Dorothy Lamour,1914,1996,"actress,soundtrack,archive_footage","tt0092796,tt0032993,tt0057007,tt0039645",28,11
tt0035400,1.0,nm0102787,Eddie Bracken,"tt0036891,tt0085995,tt0037077,tt0107985",27,2.0,nm0695863,movie,Sweater Girl,0.0,\N,77.0,Sweater Girl,1942,"Comedy,Musical,Mystery",June Preisser,1920,1984,"actress,soundtrack","tt0037100,tt0038664,tt0040208,tt0031066",22,5
tt0035413,2.0,nm0534045,Fred MacMurray,"tt0036775,tt0053604,tt0046816,tt0057518",34,1.0,nm0751426,movie,"Take a Letter, Darling",0.0,\N,92.0,"Take a Letter, Darling",1942,"Comedy,Romance",Rosalind Russell,1907,1976,"actress,writer,soundtrack","tt0051383,tt0032599,tt0056048,tt0032143",35,-1
tt0035474,2.0,nm0427452,Allan Jones,"tt0026778,tt0028249,tt0030108,tt0093818",35,1.0,nm0134411,movie,True to the Army,0.0,\N,77.0,True to the Army,1942,"Comedy,Music",Judy Canova,1913,1983,"actress,soundtrack,archive_footage","tt0034193,tt0037028,tt0034074,tt0035474",29,6
tt0035810,1.0,nm0001078,Bing Crosby,"tt0047673,tt0049314,tt0036872,tt0046874",40,2.0,nm0483787,movie,Dixie,0.0,\N,89.0,Dixie,1943,"Comedy,Musical",Dorothy Lamour,1914,1996,"actress,soundtrack,archive_footage","tt0092796,tt0032993,tt0057007,tt0039645",29,11
tt0035948,1.0,nm0445523,Cecil Kellaway,"tt0061735,tt0042546,tt0038854,tt0034881",53,2.0,nm0907785,movie,The Good Fellows,0.0,\N,70.0,The Good Fellows,1943,"Comedy,Romance",Helen Walker,1920,1968,"actress,soundtrack,archive_footage","tt0037557,tt0040202,tt0037046,tt0041503",23,30
tt0035969,2.0,nm0694090,Dick Powell,"tt0037101,tt0037615,tt0044391,tt0040695",39,1.0,nm0552756,movie,Happy Go Lucky,0.0,\N,81.0,Happy Go Lucky,1943,"Comedy,Musical,Romance",Mary Martin,1913,1990,"actress,miscellaneous,producer","tt0054176,tt0046637,tt0036461,tt0033396",30,9
tt0035983,1.0,nm0527996,Jimmy Lydon,"tt0075393,tt0038126,tt0040676,tt0042578",20,4.0,nm0086830,movie,Henry Aldrich Gets Glamour,0.0,\N,72.0,Henry Aldrich Gets Glamour,1943,"Adventure,Comedy,Family",Olive Blakeney,1894,1959,"actress,archive_footage","tt0038990,tt0034274,tt0035984,tt0036908",49,-29
tt0035984,1.0,nm0527996,Jimmy Lydon,"tt0075393,tt0038126,tt0040676,tt0042578",20,4.0,nm0086830,movie,Henry Aldrich Haunts a House,0.0,\N,73.0,Henry Aldrich Haunts a House,1943,"Adventure,Comedy,Family",Olive Blakeney,1894,1959,"actress,archive_footage","tt0038990,tt0034274,tt0035984,tt0036908",49,-29
tt0035985,1.0,nm0527996,Jimmy Lydon,"tt0075393,tt0038126,tt0040676,tt0042578",20,4.0,nm0086830,movie,Henry Aldrich Swings It,0.0,\N,64.0,Henry Aldrich Swings It,1943,"Comedy,Family",Olive Blakeney,1894,1959,"actress,archive_footage","tt0038990,tt0034274,tt0035984,tt0036908",49,-29
tt0036161,1.0,nm0035159,Richard Arlen,"tt0024188,tt0018578,tt0021070,tt0031661",44,2.0,nm0662335,movie,Minesweeper,0.0,\N,67.0,Minesweeper,1943,"Action,Adventure,Comedy",Jean Parker,1915,2005,"actress,soundtrack,archive_footage","tt0024264,tt0042531,tt0035453,tt0036653",28,16
tt0036208,2.0,nm0534045,Fred MacMurray,"tt0036775,tt0053604,tt0046816,tt0057518",35,1.0,nm0001055,movie,No Time for Love,0.0,\N,83.0,No Time for Love,1943,"Comedy,Romance",Claudette Colbert,1903,1996,"actress,soundtrack,archive_footage","tt0025316,tt0036367,tt0029929,tt0037280",40,-5
tt0036313,2.0,nm0694090,Dick Powell,"tt0037101,tt0037615,tt0044391,tt0040695",39,1.0,nm0483787,movie,Riding High,0.0,\N,88.0,Riding High,1943,Comedy,Dorothy Lamour,1914,1996,"actress,soundtrack,archive_footage","tt0092796,tt0032993,tt0057007,tt0039645",29,10
tt0036327,2.0,nm0136994,Macdonald Carey,"tt0036342,tt0058796,tt0043736,tt0039873",30,1.0,nm0722384,movie,Salute for Three,0.0,\N,74.0,Salute for Three,1943,"Comedy,Musical",Betty Jane Rhodes,1921,2011,"actress,soundtrack,archive_footage","tt0037475,tt0036327,tt0035216,tt0029145",22,8
tt0036461,2.0,nm0867144,Franchot Tone,"tt0026261,tt0026752,tt0040457,tt0028330",38,1.0,nm0552756,movie,True to Life,0.0,\N,94.0,True to Life,1943,"Comedy,Romance",Mary Martin,1913,1990,"actress,miscellaneous,producer","tt0054176,tt0046637,tt0036461,tt0033396",30,8
tt0036600,2.0,nm0534045,Fred MacMurray,"tt0036775,tt0053604,tt0046816,tt0057518",36,1.0,nm0483787,movie,And the Angels Sing,0.0,\N,96.0,And the Angels Sing,1944,"Comedy,Music,Romance",Dorothy Lamour,1914,1996,"actress,soundtrack,archive_footage","tt0092796,tt0032993,tt0057007,tt0039645",30,6
tt0036774,1.0,nm0606431,Chester Morris,"tt0020827,tt0024679,tt0020686,tt0019630",43,2.0,nm0446715,movie,Double Exposure,0.0,\N,63.0,Double Exposure,1944,"Comedy,Crime,Mystery",Nancy Kelly,1921,1995,"actress,soundtrack,archive_footage","tt0048977,tt0031507,tt0035795,tt0032873",23,20
