tconst,ordering_M,nconst_M,primaryName_M,knownForTitles_M,age_M,ordering_F,nconst_F,titleType_x,originalTitle_x,isAdult_x,endYear_x,runtimeMinutes_x,titleType_y,primaryTitle,originalTitle_y,isAdult_y,startYear,endYear_y,runtimeMinutes_y,genres,primaryName_F,birthYear,deathYear,primaryProfession,knownForTitles_F,age_F,age_gap
tt0039973,2.0,nm0639529,Edmond O'Brien,"tt0056217,tt0046754,tt0058576,tt0042369",32,1.0,nm0707048,movie,The Web,0.0,\N,87.0,movie,The Web,The Web,0,1947,\N,87,"Crime,Drama,Film-Noir",Ella Raines,1920,1988,"actress,soundtrack,archive_footage","tt0036260,tt0041503,tt0036891,tt0037330",27,5
tt0039986,1.0,nm0200626,Helmut Dantine,"tt0049934,tt0036218,tt0051016,tt0079152",29,2.0,nm0027156,movie,Whispering City,0.0,\N,98.0,movie,Whispering City,Whispering City,0,1947,\N,98,"Crime,Drama",Mary Anderson,1918,2014,"actress,archive_footage","tt0037017,tt0031381,tt0037465,tt0036377",29,0
tt0040000,2.0,nm0752813,Robert Ryan,"tt0065214,tt0061578,tt0070212,tt0047849",38,1.0,nm0000910,movie,The Woman on the Beach,0.0,\N,71.0,movie,The Woman on the Beach,The Woman on the Beach,0,1947,\N,71,"Crime,Drama,Film-Noir",Joan Bennett,1910,1990,"actress,soundtrack,archive_footage","tt0076786,tt0038057,tt0037469,tt0024264",37,1
tt0040017,1.0,nm0727311,Adriano Rimoldi,"tt0034663,tt0033177,tt0041726,tt0033449",35,2.0,nm0554726,movie,El ángel gris,0.0,\N,76.0,movie,El ángel gris,El ángel gris,0,1947,\N,76,"Crime,Drama",María Martín,1923,2014,"actress,archive_footage","tt0043273,tt0064124,tt0067457,tt0060261",24,11
tt0040063,1.0,nm0007218,Tom Conway,"tt0034587,tt0036027,tt0038518,tt0035856",44,2.0,nm0658351,movie,13 Lead Soldiers,0.0,\N,64.0,movie,13 Lead Soldiers,13 Lead Soldiers,0,1948,\N,64,"Crime,Mystery",Maria Palmer,1917,1981,"actress,archive_footage","tt0037859,tt0038875,tt0040063,tt0039973",31,13
tt0040072,1.0,nm0545298,Fredric March,"tt0036868,tt0053946,tt0022835,tt0058576",51,3.0,nm0253158,movie,An Act of Murder,0.0,\N,91.0,movie,An Act of Murder,An Act of Murder,0,1948,\N,91,"Crime,Drama,Film-Noir",Florence Eldridge,1901,1988,actress,"tt0053946,tt0020827,tt0026725,tt0023582",47,4
tt0040079,1.0,nm0088083,Hans Christian Blech,"tt0056197,tt0058947,tt0262111,tt0059470",33,4.0,nm0262932,movie,Affaire Blum,0.0,\N,109.0,movie,The Affair Blum,Affaire Blum,0,1948,\N,109,"Crime,Drama",Karin Evans,1907,2004,actress,"tt0141753,tt0346052,tt0040841,tt0022035",41,-8
tt0040094,1.0,nm0140865,John Carroll,"tt0034742,tt0027739,tt0028776,tt0032536",42,2.0,nm0544711,movie,Angel in Exile,0.0,\N,90.0,movie,Angel in Exile,Angel in Exile,0,1948,\N,90,"Crime,Drama,Romance",Adele Mara,1923,2010,"actress,soundtrack,archive_footage","tt0041841,tt0035583,tt0039194,tt0038640",25,17
tt0040114,1.0,nm0272794,Fernandel,"tt0043918,tt0030722,tt0046695,tt0128027",45,2.0,nm0100664,movie,L'armoire volante,0.0,\N,82.0,movie,The Cupboard Was Bare,L'armoire volante,0,1948,\N,82,"Comedy,Crime",Berthe Bovy,1887,1977,"actress,archive_footage,archive_sound","tt0202418,tt0432585,tt0442608,tt0040114",61,-16
tt0040119,1.0,nm0713270,Gene Raymond,"tt0028270,tt0033922,tt0040590,tt0027913",40,2.0,nm0621789,movie,Assigned to Danger,0.0,\N,66.0,movie,Assigned to Danger,Assigned to Danger,0,1948,\N,66,"Crime,Drama,Film-Noir",Noreen Nash,1924,2023,"actress,writer,archive_footage","tt0046186,tt0049261,tt0039318,tt0040119",24,16
